Language	2020	2024	2021	2023	2022	2018	2017	2016	2014	2015	2019	2012	2011	2013	Ancient	Covid	Modern
ces_Latn	18808874	14969933	13444305	9736538	10334415	13581207	10222240	6820517	2750893	2153561	2609913	1708979	660853	20.0	7274306.0	32253179	14969933
tur_Latn	26321992	25463173	20040705	11500016	13691981	15631195	14683955	10160344	7952220	5106330	3623223	4448725	842705	34.0	18350014.0	46362697	25463173
arb_Arab	8957769	8297590	7705779	4737491	5832256	4446444	3475456	1983889	1770043	943348	852943	885009	183070	40.0	3781510.0	16663548	8297590
nld_Latn	41536921	28380788	26358704	19739573	21821793	21574945	15382796	6382644	5686817	4049046	5652202	3285597	836886		13858346.0	67895625	28380788
lvs_Latn	2546889	1414892	2037889	978642	1104752	1063837	815496	237355	423385	245386	214668	166188	74030		908989.0	4584778	1414892
por_Latn	59690268	53858863	44462051	18799206	27979532	40254042	48312785	12407932	13654474	7482388	6531039	6793123	2302036	33.0	30232054.0	104152319	53858863
nob_Latn	6733134	3924405	4713639	3136505	3242137	4707037	3909787	2057312	1191113	800820	928933	808859	333436	6.0	3134234.0	11446773	3924405
ekk_Latn	3040290	1754266	2367147	1300201	1474289	1295370	978220	320893	535324	202802	248669	150740	67704	4.0	956574.0	5407437	1754266
pol_Latn	43842617	38200078	30285477	22265017	23045531	25849954	23615400	8253534	12887278	9318989	5347769	10272141	2709236	37.0	35187681.0	74128094	38200078
swh_Latn	260365	389992	215729	164704	189368	205599	234229	47933	105667	52886	32950	31883	4602		195038.0	476094	389992
gle_Latn	110568	138196	141832	94149	93951	52712	43244	10718	33497	22735	18678	20456	5954		82642.0	252400	138196
spa_Latn	125450393	103798802	97167442	61367874	69253138	79604290	83663851	26745702	30516100	14438290	14317963	13741283	5514812	205.0	64210690.0	222617835	103798802
fra_Latn	116902264	77755566	84706660	52494970	62544641	64326448	56287207	21363925	22608350	13656406	14197144	11795021	5239851	220.0	53299848.0	201608924	77755566
vie_Latn	23815433	20120115	27514876	15346933	16625968	13072056	9625550	4184844	5562474	3890774	2836951	2236814	570283	2.0	12260347.0	51330309	20120115
rus_Cyrl	560274958	484648143	569918976	287888551	333730790	385680151	304887138	107552811	79568437	61497273	75390161	44585769	9337878	357.0	194989714.0	1130193934	484648143
glg_Latn	917248	482824	600749	388779	448502	430147	411473	51197	103622	50562	72825	53245	22099		229528.0	1517997	482824
ckb_Arab	68268	31972	35730	21106	24916	36645	28404	28851	28714	14131	7818	17714	7857		68416.0	103998	31972
kmr_Latn	138844	125008	114636	72332	87253	59676	34428	3367	16775	12545	11051	15790	2184		47294.0	253480	125008
